KE_value;KE_target;KE_target_met;QTY_value;QTY_target;QTY_target_met;NewDay
58.0;63.0;0.0;75.0;90.0;0.0;2022-12-04
52.0;63.0;0.0;;;;2022-12-05
;;;80.0;90.0;0.0;2022-12-10
50.0;63.0;0.0;72.0;90.0;0.0;2022-12-11
50.0;63.0;0.0;58.0;90.0;0.0;2022-12-12
56.0;63.0;0.0;77.0;90.0;0.0;2022-12-13
55.0;63.0;0.0;77.0;90.0;0.0;2022-12-14
65.0;63.0;1.0;88.0;90.0;0.0;2022-12-15
68.0;63.0;1.0;90.0;90.0;1.0;2022-12-18
64.0;63.0;1.0;90.0;90.0;1.0;2022-12-19
64.0;63.0;1.0;88.0;90.0;0.0;2022-12-20
64.0;63.0;1.0;86.0;90.0;0.0;2022-12-21
62.0;63.0;0.0;;;;2022-12-22
67.0;63.0;1.0;85.0;90.0;0.0;2023-01-01
55.0;63.0;0.0;75.0;90.0;0.0;2023-01-02
63.0;63.0;1.0;87.0;90.0;0.0;2023-01-03
64.0;63.0;1.0;75.0;90.0;0.0;2023-01-04
67.0;63.0;1.0;85.0;90.0;0.0;2023-01-05
67.0;63.0;1.0;85.0;90.0;0.0;2023-01-07
56.0;63.0;0.0;93.0;90.0;1.0;2023-01-08
53.0;63.0;0.0;94.0;90.0;1.0;2023-01-09
54.0;60.0;0.0;85.0;90.0;0.0;2023-01-10
56.0;60.0;0.0;90.0;90.0;1.0;2023-01-11
54.0;60.0;0.0;78.0;90.0;0.0;2023-01-12
60.0;60.0;1.0;82.0;90.0;0.0;2023-01-15
53.0;60.0;0.0;87.0;90.0;0.0;2023-01-16
54.0;60.0;0.0;81.0;90.0;0.0;2023-01-17
45.0;60.0;0.0;64.0;90.0;0.0;2023-01-18
62.0;60.0;1.0;;;;2023-01-19
62.0;60.0;1.0;90.0;90.0;1.0;2023-01-21
51.0;60.0;0.0;85.0;90.0;0.0;2023-01-22
47.0;60.0;0.0;62.0;90.0;0.0;2023-01-23
49.0;60.0;0.0;75.0;90.0;0.0;2023-01-24
63.0;60.0;1.0;87.0;90.0;0.0;2023-01-25
62.0;63.0;0.0;;;;2023-01-26
62.0;63.0;0.0;88.0;90.0;0.0;2023-01-28
70.0;63.0;1.0;89.0;90.0;0.0;2023-01-29
;;;74.0;100.0;0.0;2023-01-30
62.0;63.0;0.0;112.0;100.0;1.0;2023-01-31
64.0;63.0;1.0;110.0;100.0;1.0;2023-02-01
65.0;63.0;1.0;;;;2023-02-02
119.0;63.0;1.0;;;;2023-02-03
;;;131.0;100.0;1.0;2023-02-04
68.0;63.0;1.0;96.0;100.0;0.0;2023-02-05
63.0;63.0;1.0;88.0;100.0;0.0;2023-02-06
67.0;63.0;1.0;87.0;100.0;0.0;2023-02-07
63.0;63.0;1.0;89.0;100.0;0.0;2023-02-08
62.0;63.0;0.0;98.0;90.0;1.0;2023-02-09
69.0;63.0;1.0;;;;2023-02-10
69.0;63.0;1.0;92.0;90.0;1.0;2023-02-12
58.0;63.0;0.0;92.0;90.0;1.0;2023-02-13
50.0;63.0;0.0;83.0;90.0;0.0;2023-02-14
53.0;63.0;0.0;79.0;90.0;0.0;2023-02-15
57.0;63.0;0.0;;;;2023-02-16
;;;75.0;90.0;0.0;2023-02-18
63.0;63.0;1.0;83.0;90.0;0.0;2023-02-19
60.0;63.0;0.0;68.0;90.0;0.0;2023-02-20
57.0;63.0;0.0;53.0;90.0;0.0;2023-02-21
48.0;63.0;0.0;62.0;90.0;0.0;2023-02-22
74.0;63.0;1.0;77.0;90.0;0.0;2023-02-23
74.0;63.0;1.0;77.0;90.0;0.0;2023-02-25
59.0;63.0;0.0;71.0;90.0;0.0;2023-02-26
55.0;63.0;0.0;76.0;90.0;0.0;2023-02-27
55.0;63.0;0.0;73.0;90.0;0.0;2023-02-28
56.0;63.0;0.0;72.0;90.0;0.0;2023-03-01
70.0;63.0;1.0;;;;2023-03-02
70.0;63.0;1.0;87.0;90.0;0.0;2023-03-04
68.0;63.0;1.0;90.0;90.0;1.0;2023-03-05
28.0;63.0;0.0;46.0;90.0;0.0;2023-03-06
66.0;63.0;1.0;81.0;90.0;0.0;2023-03-07
64.0;63.0;1.0;90.0;90.0;1.0;2023-03-08
65.0;63.0;1.0;69.0;90.0;0.0;2023-03-09
65.0;63.0;1.0;;;;2023-03-11
64.0;63.0;1.0;86.0;90.0;0.0;2023-03-12
62.0;63.0;0.0;70.0;90.0;0.0;2023-03-13
65.0;63.0;1.0;80.0;90.0;0.0;2023-03-14
66.0;63.0;1.0;90.0;90.0;1.0;2023-03-15
65.0;63.0;1.0;;;;2023-03-16
65.0;63.0;1.0;90.0;90.0;1.0;2023-03-18
58.0;63.0;0.0;90.0;90.0;1.0;2023-03-19
56.0;63.0;0.0;75.0;90.0;0.0;2023-03-20
54.0;63.0;0.0;92.0;90.0;1.0;2023-03-21
54.0;63.0;0.0;84.0;90.0;0.0;2023-03-22
68.0;63.0;1.0;86.0;90.0;0.0;2023-03-23
69.0;63.0;1.0;;;;2023-03-25
64.0;63.0;1.0;70.0;90.0;0.0;2023-03-26
67.0;63.0;1.0;80.0;90.0;0.0;2023-03-27
67.0;63.0;1.0;89.0;90.0;0.0;2023-03-28
66.0;63.0;1.0;85.0;90.0;0.0;2023-03-29
61.0;63.0;0.0;;;;2023-03-30
61.0;63.0;0.0;76.0;90.0;0.0;2023-04-01
62.0;63.0;0.0;82.0;90.0;0.0;2023-04-02
61.0;63.0;0.0;85.0;90.0;0.0;2023-04-03
59.0;63.0;0.0;90.0;90.0;1.0;2023-04-04
59.0;63.0;0.0;65.0;90.0;0.0;2023-04-05
67.0;63.0;1.0;85.0;90.0;0.0;2023-04-06
67.0;63.0;1.0;;;;2023-04-09
64.0;63.0;1.0;74.0;90.0;0.0;2023-04-10
68.0;63.0;1.0;87.0;90.0;0.0;2023-04-11
59.0;63.0;0.0;54.0;90.0;0.0;2023-04-12
50.0;63.0;0.0;;;;2023-04-13
50.0;63.0;0.0;60.0;90.0;0.0;2023-04-15
65.0;63.0;1.0;90.0;90.0;1.0;2023-04-16
60.0;63.0;0.0;84.0;90.0;0.0;2023-04-17
59.0;63.0;0.0;97.0;90.0;1.0;2023-04-18
58.0;63.0;0.0;92.0;90.0;1.0;2023-04-19
54.0;63.0;0.0;78.0;90.0;0.0;2023-04-20
54.0;63.0;0.0;;;;2023-04-22
43.0;63.0;0.0;77.0;100.0;0.0;2023-04-23
60.0;63.0;0.0;100.0;100.0;1.0;2023-04-24
49.0;63.0;0.0;70.0;100.0;0.0;2023-04-25
60.0;63.0;0.0;81.0;100.0;0.0;2023-04-26
50.0;63.0;0.0;;;;2023-04-27
50.0;63.0;0.0;73.0;100.0;0.0;2023-04-30
66.0;63.0;1.0;91.0;100.0;0.0;2023-05-01
64.0;63.0;1.0;92.0;100.0;0.0;2023-05-02
63.0;63.0;1.0;88.0;100.0;0.0;2023-05-03
64.0;63.0;1.0;86.0;100.0;0.0;2023-05-04
57.0;63.0;0.0;76.0;100.0;0.0;2023-05-08
60.0;63.0;0.0;67.0;100.0;0.0;2023-05-09
63.0;63.0;1.0;74.0;100.0;0.0;2023-05-10
64.0;63.0;1.0;;;;2023-05-11
64.0;63.0;1.0;80.0;105.0;0.0;2023-05-13
62.0;63.0;0.0;92.0;105.0;0.0;2023-05-14
57.0;63.0;0.0;92.0;105.0;0.0;2023-05-15
57.0;63.0;0.0;74.0;105.0;0.0;2023-05-16
57.0;63.0;0.0;;;;2023-05-20
52.0;63.0;0.0;77.0;105.0;0.0;2023-05-21
57.0;63.0;0.0;93.0;105.0;0.0;2023-05-22
64.0;63.0;1.0;98.0;105.0;0.0;2023-05-23
62.0;63.0;0.0;84.0;105.0;0.0;2023-05-24
53.0;63.0;0.0;;;;2023-05-25
53.0;63.0;0.0;81.0;105.0;0.0;2023-05-28
62.0;63.0;0.0;84.0;105.0;0.0;2023-05-29
59.0;63.0;0.0;82.0;105.0;0.0;2023-05-30
58.0;63.0;0.0;86.0;105.0;0.0;2023-05-31
60.0;63.0;0.0;;;;2023-06-01
60.0;63.0;0.0;83.0;105.0;0.0;2023-06-03
62.0;63.0;0.0;93.0;105.0;0.0;2023-06-04
46.0;63.0;0.0;54.0;105.0;0.0;2023-06-05
59.0;63.0;0.0;97.0;105.0;0.0;2023-06-06
