Category;KPI;Alias;UoM;Day;Value;Target
Service Level;QTE RM6 S2;  ;Number;05 Dec 2022;75;90
Service Level;QTE RM6 S2;  ;Number;06 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;07 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;08 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;09 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;10 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;11 Dec 2022;80;90
Service Level;QTE RM6 S2;  ;Number;12 Dec 2022;72;90
Service Level;QTE RM6 S2;  ;Number;13 Dec 2022;58;90
Service Level;QTE RM6 S2;  ;Number;14 Dec 2022;77;90
Service Level;QTE RM6 S2;  ;Number;15 Dec 2022;77;90
Service Level;QTE RM6 S2;  ;Number;16 Dec 2022;88;90
Service Level;QTE RM6 S2;  ;Number;17 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;18 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;19 Dec 2022;90;90
Service Level;QTE RM6 S2;  ;Number;20 Dec 2022;90;90
Service Level;QTE RM6 S2;  ;Number;21 Dec 2022;88;90
Service Level;QTE RM6 S2;  ;Number;22 Dec 2022;86;90
Service Level;QTE RM6 S2;  ;Number;23 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;24 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;25 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;26 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;27 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;28 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;29 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;30 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;31 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;01/01/2023; ; 
Service Level;QTE RM6 S2;  ;Number;02/01/2023;85;90
Service Level;QTE RM6 S2;  ;Number;03/01/2023;75;90
Service Level;QTE RM6 S2;  ;Number;04/01/2023;87;90
Service Level;QTE RM6 S2;  ;Number;05/01/2023;75;90
Service Level;QTE RM6 S2;  ;Number;06/01/2023;85;90
Service Level;QTE RM6 S2;  ;Number;07/01/2023; ; 
Service Level;QTE RM6 S2;  ;Number;08/01/2023;85;90
Service Level;QTE RM6 S2;  ;Number;09/01/2023;93;90
Service Level;QTE RM6 S2;  ;Number;10/01/2023;94;90
Service Level;QTE RM6 S2;  ;Number;11/01/2023;85;90
Service Level;QTE RM6 S2;  ;Number;12/01/2023;90;90
Service Level;QTE RM6 S2;  ;Number;13/01/2023;78;90
Service Level;QTE RM6 S2;  ;Number;14/01/2023; ; 
Service Level;QTE RM6 S2;  ;Number;15/01/2023; ; 
Service Level;QTE RM6 S2;  ;Number;16/01/2023;82;90
Service Level;QTE RM6 S2;  ;Number;17/01/2023;87;90
Service Level;QTE RM6 S2;  ;Number;18/01/2023;81;90
Service Level;QTE RM6 S2;  ;Number;19/01/2023;64;90
Service Level;QTE RM6 S2;  ;Number;20/01/2023; ; 
Service Level;QTE RM6 S2;  ;Number;21/01/2023; ; 
Service Level;QTE RM6 S2;  ;Number;22/01/2023;90;90
Service Level;QTE RM6 S2;  ;Number;23/01/2023;85;90
Service Level;QTE RM6 S2;  ;Number;24/01/2023;62;90
Service Level;QTE RM6 S2;  ;Number;25/01/2023;75;90
Service Level;QTE RM6 S2;  ;Number;26/01/2023;87;90
Service Level;QTE RM6 S2;  ;Number;27/01/2023; ; 
Service Level;QTE RM6 S2;  ;Number;28/01/2023; ; 
Service Level;QTE RM6 S2;  ;Number;29/01/2023;88;90
Service Level;QTE RM6 S2;  ;Number;30/01/2023;89;90
Service Level;QTE RM6 S2;  ;Number;31/01/2023;74;100
Service Level;QTE RM6 S2;  ;Number;01 Feb 2023;112;100
Service Level;QTE RM6 S2;  ;Number;02 Feb 2023;110;100
Service Level;QTE RM6 S2;  ;Number;03 Feb 2023; ; 
Service Level;QTE RM6 S2;  ;Number;04 Feb 2023; ; 
Service Level;QTE RM6 S2;  ;Number;05 Feb 2023;131;100
Service Level;QTE RM6 S2;  ;Number;06 Feb 2023;96;100
Service Level;QTE RM6 S2;  ;Number;07 Feb 2023;88;100
Service Level;QTE RM6 S2;  ;Number;08 Feb 2023;87;100
Service Level;QTE RM6 S2;  ;Number;09 Feb 2023;89;100
Service Level;QTE RM6 S2;  ;Number;10 Feb 2023;98;90
Service Level;QTE RM6 S2;  ;Number;11 Feb 2023; ; 
Service Level;QTE RM6 S2;  ;Number;12 Feb 2023; ; 
